product_id,sku,product_name,category,vendor_name,beginning_stock_qty,units_sold_7d,units_received_7d,ending_stock_qty,stock_unit,reorder_point_qty,recommended_reorder_qty,stock_status,last_pos_sync_at
P018,CHEESE,Cheddar Cheese Block,Dairy,Fresh Dairy Co.,60,16,12,45,unit,5,0,Healthy,2024-05-14 21:57:00
P019,COFFEE-CAN,Ground Coffee,Grocery,Daily Grocery Wholesale,76,38,24,38,unit,12,0,Healthy,2024-05-14 21:57:00
P020,SUGAR,Sugar 4lb,Grocery,Daily Grocery Wholesale,47,11,0,36,bag,3,0,Healthy,2024-05-14 21:57:00
P021,RICE,Jasmine Rice 5lb,Grocery,Daily Grocery Wholesale,72,30,24,42,bag,10,0,Healthy,2024-05-14 21:57:00
P022,PASTA,Pasta Box,Grocery,Daily Grocery Wholesale,96,38,24,59,box,12,0,Healthy,2024-05-14 21:57:00
P023,SAUCE,Tomato Sauce Jar,Grocery,Daily Grocery Wholesale,72,20,6,53,jar,6,0,Healthy,2024-05-14 21:57:00
P024,SOUP,Chicken Soup Can,Grocery,Daily Grocery Wholesale,54,19,0,36,can,6,0,Healthy,2024-05-14 21:57:00
P025,TUNA,Tuna Can,Grocery,Daily Grocery Wholesale,77,35,12,42,can,11,0,Healthy,2024-05-14 21:57:00
P026,ICECREAM,Ice Cream Pint,Frozen,Fresh Dairy Co.,28,36,24,4,unit,12,18,Low Stock,2024-05-14 21:57:00
P027,FROZEN-PIZZA,Frozen Pizza,Frozen,Daily Grocery Wholesale,41,22,6,19,unit,7,0,Healthy,2024-05-14 21:57:00
P028,HOTDOG,Hot Dog Pack,Meat,Daily Grocery Wholesale,59,7,12,52,pack,2,0,Healthy,2024-05-14 21:57:00
P029,BACON,Bacon Pack,Meat,Daily Grocery Wholesale,56,19,24,37,pack,6,0,Healthy,2024-05-14 21:57:00
P030,SOAP,Dish Soap,Household,Daily Grocery Wholesale,64,15,24,49,unit,5,0,Healthy,2024-05-14 21:57:00
P031,PAPER-TOWEL,Paper Towels,Household,Daily Grocery Wholesale,28,10,6,19,pack,3,0,Healthy,2024-05-14 21:57:00
P032,TOILET-PAPER,Toilet Paper 12pk,Household,Daily Grocery Wholesale,11,3,24,8,pack,2,0,Healthy,2024-05-14 21:57:00
P033,TRASH-BAGS,Trash Bags,Household,Daily Grocery Wholesale,42,7,24,36,box,2,0,Healthy,2024-05-14 21:57:00
P034,ADVIL,Pain Reliever,Pharmacy,Daily Grocery Wholesale,78,39,12,40,unit,13,0,Healthy,2024-05-14 21:57:00
P035,BATTERY-AA,AA Batteries,Electronics,Daily Grocery Wholesale,55,30,24,26,pack,10,0,Healthy,2024-05-14 21:57:00
P036,ENERGY-BAR,Protein Bar,Candy,Metro Snacks,15,9,0,7,box,3,0,Healthy,2024-05-14 21:57:00
P037,CEREAL,Cereal Box,Grocery,Daily Grocery Wholesale,68,37,12,32,box,12,0,Healthy,2024-05-14 21:57:00
P038,ALMONDS,Blue Diamond Almonds,Snacks,Metro Snacks,85,31,24,55,case,10,0,Healthy,2024-05-14 21:57:00
P039,MANGO-JUICE,Mango Juice,Beverage,Hudson Beverage,12,3,12,9,case,2,0,Healthy,2024-05-14 21:57:00
P040,TEA-BOTTLE,Iced Tea Bottle,Beverage,Hudson Beverage,34,28,6,7,case,9,14,Low Stock,2024-05-14 21:57:00
