transaction_id,timestamp,date,hour,pos_terminal_id,cashier_id,product_id,sku,product_name,category,quantity,unit_sell_price,line_total,payment_method
T1001,2024-05-08 09:32:05,2024-05-08,09:00,POS-1,C003,P001,RB-24CT,Red Bull 24ct,Energy Drink,2,44.81,89.62,Card
T1026,2024-05-08 09:41:21,2024-05-08,09:00,POS-1,C002,P034,ADVIL,Pain Reliever,Pharmacy,2,5.77,11.54,Apple Pay
T1031,2024-05-08 10:12:20,2024-05-08,10:00,POS-1,C001,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Cash
T1003,2024-05-08 10:13:32,2024-05-08,10:00,POS-2,C002,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,Cash
T1003,2024-05-08 10:13:32,2024-05-08,10:00,POS-2,C003,P011,DORITOS,Doritos Nacho Cheese,Snacks,2,44.82,89.64,Card
T1003,2024-05-08 10:13:32,2024-05-08,10:00,POS-2,C003,P001,RB-24CT,Red Bull 24ct,Energy Drink,3,44.81,134.43,Card
T1025,2024-05-08 10:44:53,2024-05-08,10:00,POS-1,C003,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,3,24.42,73.26,Card
T1025,2024-05-08 10:44:53,2024-05-08,10:00,POS-2,C003,P028,HOTDOG,Hot Dog Pack,Meat,1,8.92,8.92,Apple Pay
T1023,2024-05-08 11:01:39,2024-05-08,11:00,POS-1,C002,P005,MILK-GAL,Milk Gallon,Dairy,1,4.49,4.49,Apple Pay
T1023,2024-05-08 11:01:39,2024-05-08,11:00,POS-1,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,1,26.09,26.09,Card
T1014,2024-05-08 11:02:15,2024-05-08,11:00,POS-1,C003,P022,PASTA,Pasta Box,Grocery,2,6.70,13.40,EBT
T1014,2024-05-08 11:02:15,2024-05-08,11:00,POS-2,C001,P027,FROZEN-PIZZA,Frozen Pizza,Frozen,2,3.48,6.96,Cash
T1014,2024-05-08 11:02:15,2024-05-08,11:00,POS-1,C001,P015,ORANGE-JUICE,Orange Juice,Beverage,3,4.16,12.48,EBT
T1014,2024-05-08 11:02:15,2024-05-08,11:00,POS-1,C003,P035,BATTERY-AA,AA Batteries,Electronics,1,33.84,33.84,EBT
T1009,2024-05-08 11:58:29,2024-05-08,11:00,POS-1,C002,P008,BREAD-WHT,White Bread,Grocery,1,3.30,3.30,Apple Pay
T1009,2024-05-08 11:58:29,2024-05-08,11:00,POS-1,C002,P029,BACON,Bacon Pack,Meat,1,2.13,2.13,Apple Pay
T1009,2024-05-08 11:58:29,2024-05-08,11:00,POS-2,C003,P005,MILK-GAL,Milk Gallon,Dairy,3,4.49,13.47,Apple Pay
T1017,2024-05-08 12:04:45,2024-05-08,12:00,POS-1,C001,P005,MILK-GAL,Milk Gallon,Dairy,1,4.49,4.49,Cash
T1017,2024-05-08 12:04:45,2024-05-08,12:00,POS-1,C003,P010,CHOC-BAR,Chocolate Bar,Candy,2,27.61,55.22,Cash
T1017,2024-05-08 12:04:45,2024-05-08,12:00,POS-2,C002,P035,BATTERY-AA,AA Batteries,Electronics,1,33.84,33.84,Apple Pay
T1043,2024-05-08 12:08:59,2024-05-08,12:00,POS-1,C003,P015,ORANGE-JUICE,Orange Juice,Beverage,3,4.16,12.48,Cash
T1043,2024-05-08 12:08:59,2024-05-08,12:00,POS-1,C003,P025,TUNA,Tuna Can,Grocery,1,11.46,11.46,EBT
T1043,2024-05-08 12:08:59,2024-05-08,12:00,POS-1,C001,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,EBT
T1028,2024-05-08 13:15:53,2024-05-08,13:00,POS-1,C002,P007,SPARK-WATER,Sparkling Water Variety Pack,Beverage,2,5.99,11.98,EBT
T1029,2024-05-08 13:31:54,2024-05-08,13:00,POS-2,C003,P003,EGG-12CT,Eggs 12ct,Grocery,1,37.39,37.39,Apple Pay
T1029,2024-05-08 13:31:54,2024-05-08,13:00,POS-1,C003,P004,SBUX-FRAP,Starbucks Frappuccino,Beverage,2,42.69,85.38,Cash
T1029,2024-05-08 13:31:54,2024-05-08,13:00,POS-1,C003,P030,SOAP,Dish Soap,Household,1,12.33,12.33,EBT
T1008,2024-05-08 13:35:56,2024-05-08,13:00,POS-1,C002,P040,TEA-BOTTLE,Iced Tea Bottle,Beverage,1,23.35,23.35,Card
T1008,2024-05-08 13:35:56,2024-05-08,13:00,POS-2,C002,P026,ICECREAM,Ice Cream Pint,Frozen,1,8.55,8.55,Cash
T1008,2024-05-08 13:35:56,2024-05-08,13:00,POS-1,C003,P037,CEREAL,Cereal Box,Grocery,1,7.72,7.72,Card
T1008,2024-05-08 13:35:56,2024-05-08,13:00,POS-1,C002,P005,MILK-GAL,Milk Gallon,Dairy,2,4.49,8.98,Cash
T1034,2024-05-08 14:11:03,2024-05-08,14:00,POS-2,C001,P038,ALMONDS,Blue Diamond Almonds,Snacks,2,25.38,50.76,Card
T1034,2024-05-08 14:11:03,2024-05-08,14:00,POS-1,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,1,26.09,26.09,Apple Pay
T1034,2024-05-08 14:11:03,2024-05-08,14:00,POS-1,C001,P032,TOILET-PAPER,Toilet Paper 12pk,Household,1,18.40,18.40,EBT
T1042,2024-05-08 14:20:16,2024-05-08,14:00,POS-2,C002,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,Card
T1042,2024-05-08 14:20:16,2024-05-08,14:00,POS-2,C003,P028,HOTDOG,Hot Dog Pack,Meat,1,8.92,8.92,EBT
T1042,2024-05-08 14:20:16,2024-05-08,14:00,POS-2,C001,P034,ADVIL,Pain Reliever,Pharmacy,3,5.77,17.31,Cash
T1002,2024-05-08 14:37:36,2024-05-08,14:00,POS-2,C002,P037,CEREAL,Cereal Box,Grocery,1,7.72,7.72,Cash
T1002,2024-05-08 14:37:36,2024-05-08,14:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,3,37.39,112.17,Apple Pay
T1002,2024-05-08 14:37:36,2024-05-08,14:00,POS-1,C002,P026,ICECREAM,Ice Cream Pint,Frozen,1,8.55,8.55,Card
T1012,2024-05-08 14:42:26,2024-05-08,14:00,POS-2,C003,P013,WATER-24PK,Bottled Water 24pk,Beverage,2,17.29,34.58,Cash
T1012,2024-05-08 14:42:26,2024-05-08,14:00,POS-2,C002,P008,BREAD-WHT,White Bread,Grocery,2,3.30,6.60,Card
T1012,2024-05-08 14:42:26,2024-05-08,14:00,POS-2,C001,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,EBT
T1030,2024-05-08 14:48:15,2024-05-08,14:00,POS-2,C003,P023,SAUCE,Tomato Sauce Jar,Grocery,1,8.57,8.57,Cash
T1030,2024-05-08 14:48:15,2024-05-08,14:00,POS-2,C002,P016,YOGURT,Greek Yogurt Cup,Dairy,1,26.09,26.09,Apple Pay
T1030,2024-05-08 14:48:15,2024-05-08,14:00,POS-2,C002,P029,BACON,Bacon Pack,Meat,2,2.13,4.26,EBT
T1030,2024-05-08 14:48:15,2024-05-08,14:00,POS-2,C002,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,Cash
T1018,2024-05-08 15:26:03,2024-05-08,15:00,POS-1,C003,P034,ADVIL,Pain Reliever,Pharmacy,2,5.77,11.54,EBT
T1018,2024-05-08 15:26:03,2024-05-08,15:00,POS-1,C002,P012,LAY-CLASSIC,Lay's Classic Chips,Snacks,2,18.81,37.62,Apple Pay
T1005,2024-05-08 15:45:21,2024-05-08,15:00,POS-2,C002,P025,TUNA,Tuna Can,Grocery,2,11.46,22.92,Card
T1005,2024-05-08 15:45:21,2024-05-08,15:00,POS-2,C002,P034,ADVIL,Pain Reliever,Pharmacy,1,5.77,5.77,Card
T1035,2024-05-08 15:50:39,2024-05-08,15:00,POS-2,C003,P028,HOTDOG,Hot Dog Pack,Meat,2,8.92,17.84,EBT
T1035,2024-05-08 15:50:39,2024-05-08,15:00,POS-1,C003,P012,LAY-CLASSIC,Lay's Classic Chips,Snacks,1,18.81,18.81,Card
T1039,2024-05-08 15:52:36,2024-05-08,15:00,POS-2,C003,P015,ORANGE-JUICE,Orange Juice,Beverage,2,4.16,8.32,EBT
T1039,2024-05-08 15:52:36,2024-05-08,15:00,POS-1,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,2,26.09,52.18,Card
T1039,2024-05-08 15:52:36,2024-05-08,15:00,POS-2,C003,P008,BREAD-WHT,White Bread,Grocery,2,3.30,6.60,Apple Pay
T1027,2024-05-08 15:53:29,2024-05-08,15:00,POS-2,C003,P015,ORANGE-JUICE,Orange Juice,Beverage,3,4.16,12.48,EBT
T1027,2024-05-08 15:53:29,2024-05-08,15:00,POS-2,C003,P026,ICECREAM,Ice Cream Pint,Frozen,2,8.55,17.10,Apple Pay
T1037,2024-05-08 16:30:18,2024-05-08,16:00,POS-2,C003,P005,MILK-GAL,Milk Gallon,Dairy,3,4.49,13.47,EBT
T1033,2024-05-08 16:48:31,2024-05-08,16:00,POS-2,C002,P035,BATTERY-AA,AA Batteries,Electronics,2,33.84,67.68,EBT
T1024,2024-05-08 17:10:19,2024-05-08,17:00,POS-2,C002,P020,SUGAR,Sugar 4lb,Grocery,1,5.28,5.28,Cash
T1041,2024-05-08 17:11:30,2024-05-08,17:00,POS-1,C002,P037,CEREAL,Cereal Box,Grocery,2,7.72,15.44,Apple Pay
T1041,2024-05-08 17:11:30,2024-05-08,17:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,2,37.39,74.78,Card
T1041,2024-05-08 17:11:30,2024-05-08,17:00,POS-2,C002,P021,RICE,Jasmine Rice 5lb,Grocery,1,1.17,1.17,EBT
T1041,2024-05-08 17:11:30,2024-05-08,17:00,POS-2,C003,P022,PASTA,Pasta Box,Grocery,1,6.70,6.70,Card
T1032,2024-05-08 17:17:46,2024-05-08,17:00,POS-1,C002,P040,TEA-BOTTLE,Iced Tea Bottle,Beverage,1,23.35,23.35,Card
T1032,2024-05-08 17:17:46,2024-05-08,17:00,POS-1,C002,P034,ADVIL,Pain Reliever,Pharmacy,3,5.77,17.31,Card
T1032,2024-05-08 17:17:46,2024-05-08,17:00,POS-2,C003,P008,BREAD-WHT,White Bread,Grocery,1,3.30,3.30,Cash
T1013,2024-05-08 17:38:41,2024-05-08,17:00,POS-1,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,2,26.09,52.18,Card
T1013,2024-05-08 17:38:41,2024-05-08,17:00,POS-2,C001,P015,ORANGE-JUICE,Orange Juice,Beverage,1,4.16,4.16,Cash
T1013,2024-05-08 17:38:41,2024-05-08,17:00,POS-2,C001,P004,SBUX-FRAP,Starbucks Frappuccino,Beverage,3,42.69,128.07,Cash
T1019,2024-05-08 17:54:57,2024-05-08,17:00,POS-1,C002,P019,COFFEE-CAN,Ground Coffee,Grocery,2,5.00,10.00,EBT
T1019,2024-05-08 17:54:57,2024-05-08,17:00,POS-1,C002,P026,ICECREAM,Ice Cream Pint,Frozen,2,8.55,17.10,Apple Pay
T1019,2024-05-08 17:54:57,2024-05-08,17:00,POS-2,C003,P030,SOAP,Dish Soap,Household,3,12.33,36.99,Cash
T1019,2024-05-08 17:54:57,2024-05-08,17:00,POS-1,C003,P036,ENERGY-BAR,Protein Bar,Candy,2,42.75,85.50,Card
T1016,2024-05-08 18:35:28,2024-05-08,18:00,POS-1,C003,P026,ICECREAM,Ice Cream Pint,Frozen,1,8.55,8.55,Apple Pay
T1016,2024-05-08 18:35:28,2024-05-08,18:00,POS-2,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,2,26.09,52.18,Cash
T1020,2024-05-08 19:37:36,2024-05-08,19:00,POS-1,C002,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,2,24.42,48.84,Cash
T1010,2024-05-08 20:07:56,2024-05-08,20:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,1,37.39,37.39,Apple Pay
T1010,2024-05-08 20:07:56,2024-05-08,20:00,POS-1,C002,P038,ALMONDS,Blue Diamond Almonds,Snacks,2,25.38,50.76,Cash
T1010,2024-05-08 20:07:56,2024-05-08,20:00,POS-1,C003,P005,MILK-GAL,Milk Gallon,Dairy,1,4.49,4.49,EBT
T1004,2024-05-08 20:08:16,2024-05-08,20:00,POS-1,C002,P035,BATTERY-AA,AA Batteries,Electronics,3,33.84,101.52,Apple Pay
T1036,2024-05-08 20:13:40,2024-05-08,20:00,POS-1,C003,P005,MILK-GAL,Milk Gallon,Dairy,1,4.49,4.49,Card
T1036,2024-05-08 20:13:40,2024-05-08,20:00,POS-1,C002,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,EBT
T1022,2024-05-08 21:22:14,2024-05-08,21:00,POS-1,C001,P029,BACON,Bacon Pack,Meat,3,2.13,6.39,Cash
T1062,2024-05-09 08:16:03,2024-05-09,08:00,POS-1,C002,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,EBT
T1062,2024-05-09 08:16:03,2024-05-09,08:00,POS-1,C002,P018,CHEESE,Cheddar Cheese Block,Dairy,1,10.18,10.18,Cash
T1051,2024-05-09 08:53:42,2024-05-09,08:00,POS-2,C002,P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Snacks,1,2.49,2.49,Cash
T1051,2024-05-09 08:53:42,2024-05-09,08:00,POS-2,C001,P019,COFFEE-CAN,Ground Coffee,Grocery,2,5.00,10.00,Cash
T1051,2024-05-09 08:53:42,2024-05-09,08:00,POS-2,C003,P025,TUNA,Tuna Can,Grocery,2,11.46,22.92,Cash
T1051,2024-05-09 08:53:42,2024-05-09,08:00,POS-1,C003,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Card
T1058,2024-05-09 09:17:12,2024-05-09,09:00,POS-1,C003,P038,ALMONDS,Blue Diamond Almonds,Snacks,2,25.38,50.76,Cash
T1078,2024-05-09 09:45:28,2024-05-09,09:00,POS-2,C002,P018,CHEESE,Cheddar Cheese Block,Dairy,2,10.18,20.36,Card
T1078,2024-05-09 09:45:28,2024-05-09,09:00,POS-2,C001,P022,PASTA,Pasta Box,Grocery,3,6.70,20.10,Apple Pay
T1078,2024-05-09 09:45:28,2024-05-09,09:00,POS-2,C002,P011,DORITOS,Doritos Nacho Cheese,Snacks,1,44.82,44.82,Apple Pay
T1078,2024-05-09 09:45:28,2024-05-09,09:00,POS-1,C002,P037,CEREAL,Cereal Box,Grocery,3,7.72,23.16,Card
T1060,2024-05-09 09:48:35,2024-05-09,09:00,POS-2,C001,P021,RICE,Jasmine Rice 5lb,Grocery,1,1.17,1.17,Card
T1060,2024-05-09 09:48:35,2024-05-09,09:00,POS-1,C001,P031,PAPER-TOWEL,Paper Towels,Household,1,7.15,7.15,Apple Pay
T1076,2024-05-09 09:53:18,2024-05-09,09:00,POS-2,C002,P023,SAUCE,Tomato Sauce Jar,Grocery,1,8.57,8.57,Card
T1050,2024-05-09 10:22:37,2024-05-09,10:00,POS-1,C002,P022,PASTA,Pasta Box,Grocery,1,6.70,6.70,EBT
T1050,2024-05-09 10:22:37,2024-05-09,10:00,POS-1,C002,P015,ORANGE-JUICE,Orange Juice,Beverage,1,4.16,4.16,Apple Pay
T1050,2024-05-09 10:22:37,2024-05-09,10:00,POS-2,C003,P005,MILK-GAL,Milk Gallon,Dairy,2,4.49,8.98,Apple Pay
T1064,2024-05-09 12:40:37,2024-05-09,12:00,POS-2,C001,P012,LAY-CLASSIC,Lay's Classic Chips,Snacks,2,18.81,37.62,Card
T1064,2024-05-09 12:40:37,2024-05-09,12:00,POS-1,C002,P021,RICE,Jasmine Rice 5lb,Grocery,3,1.17,3.51,EBT
T1064,2024-05-09 12:40:37,2024-05-09,12:00,POS-2,C002,P008,BREAD-WHT,White Bread,Grocery,1,3.30,3.30,EBT
T1070,2024-05-09 12:42:27,2024-05-09,12:00,POS-2,C001,P021,RICE,Jasmine Rice 5lb,Grocery,1,1.17,1.17,Apple Pay
T1070,2024-05-09 12:42:27,2024-05-09,12:00,POS-2,C003,P014,GATORADE,Gatorade 20oz,Beverage,3,30.95,92.85,Apple Pay
T1070,2024-05-09 12:42:27,2024-05-09,12:00,POS-1,C002,P004,SBUX-FRAP,Starbucks Frappuccino,Beverage,1,42.69,42.69,Card
T1070,2024-05-09 12:42:27,2024-05-09,12:00,POS-1,C002,P017,BUTTER,Butter Sticks,Dairy,1,42.18,42.18,Cash
T1049,2024-05-09 13:09:15,2024-05-09,13:00,POS-1,C002,P019,COFFEE-CAN,Ground Coffee,Grocery,2,5.00,10.00,Cash
T1049,2024-05-09 13:09:15,2024-05-09,13:00,POS-2,C003,P029,BACON,Bacon Pack,Meat,1,2.13,2.13,Apple Pay
T1049,2024-05-09 13:09:15,2024-05-09,13:00,POS-2,C003,P003,EGG-12CT,Eggs 12ct,Grocery,2,37.39,74.78,Card
T1049,2024-05-09 13:09:15,2024-05-09,13:00,POS-2,C003,P001,RB-24CT,Red Bull 24ct,Energy Drink,2,44.81,89.62,Cash
T1052,2024-05-09 13:28:02,2024-05-09,13:00,POS-2,C001,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Cash
T1052,2024-05-09 13:28:02,2024-05-09,13:00,POS-2,C003,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,Apple Pay
T1052,2024-05-09 13:28:02,2024-05-09,13:00,POS-2,C002,P008,BREAD-WHT,White Bread,Grocery,1,3.30,3.30,Apple Pay
T1069,2024-05-09 13:29:21,2024-05-09,13:00,POS-1,C001,P011,DORITOS,Doritos Nacho Cheese,Snacks,2,44.82,89.64,Cash
T1069,2024-05-09 13:29:21,2024-05-09,13:00,POS-1,C003,P026,ICECREAM,Ice Cream Pint,Frozen,1,8.55,8.55,Card
T1056,2024-05-09 13:31:07,2024-05-09,13:00,POS-1,C002,P005,MILK-GAL,Milk Gallon,Dairy,2,4.49,8.98,EBT
T1067,2024-05-09 13:35:23,2024-05-09,13:00,POS-1,C002,P027,FROZEN-PIZZA,Frozen Pizza,Frozen,2,3.48,6.96,Card
T1065,2024-05-09 13:46:06,2024-05-09,13:00,POS-2,C001,P015,ORANGE-JUICE,Orange Juice,Beverage,1,4.16,4.16,Card
T1065,2024-05-09 13:46:06,2024-05-09,13:00,POS-1,C002,P024,SOUP,Chicken Soup Can,Grocery,1,3.37,3.37,Card
T1065,2024-05-09 13:46:06,2024-05-09,13:00,POS-2,C001,P012,LAY-CLASSIC,Lay's Classic Chips,Snacks,3,18.81,56.43,Card
T1057,2024-05-09 13:47:44,2024-05-09,13:00,POS-2,C002,P021,RICE,Jasmine Rice 5lb,Grocery,2,1.17,2.34,Card
T1057,2024-05-09 13:47:44,2024-05-09,13:00,POS-2,C001,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,EBT
T1057,2024-05-09 13:47:44,2024-05-09,13:00,POS-1,C002,P035,BATTERY-AA,AA Batteries,Electronics,2,33.84,67.68,Card
T1057,2024-05-09 13:47:44,2024-05-09,13:00,POS-2,C003,P023,SAUCE,Tomato Sauce Jar,Grocery,3,8.57,25.71,Apple Pay
T1072,2024-05-09 14:04:55,2024-05-09,14:00,POS-2,C001,P020,SUGAR,Sugar 4lb,Grocery,2,5.28,10.56,EBT
T1072,2024-05-09 14:04:55,2024-05-09,14:00,POS-2,C001,P020,SUGAR,Sugar 4lb,Grocery,1,5.28,5.28,EBT
T1072,2024-05-09 14:04:55,2024-05-09,14:00,POS-2,C001,P025,TUNA,Tuna Can,Grocery,3,11.46,34.38,EBT
T1077,2024-05-09 14:51:36,2024-05-09,14:00,POS-1,C002,P009,BANANA-LB,Bananas,Produce,1,4.18,4.18,Card
T1077,2024-05-09 14:51:36,2024-05-09,14:00,POS-1,C003,P016,YOGURT,Greek Yogurt Cup,Dairy,1,26.09,26.09,Cash
T1048,2024-05-09 15:15:40,2024-05-09,15:00,POS-1,C002,P040,TEA-BOTTLE,Iced Tea Bottle,Beverage,1,23.35,23.35,Cash
T1048,2024-05-09 15:15:40,2024-05-09,15:00,POS-2,C001,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Card
T1048,2024-05-09 15:15:40,2024-05-09,15:00,POS-1,C002,P015,ORANGE-JUICE,Orange Juice,Beverage,1,4.16,4.16,Apple Pay
T1046,2024-05-09 15:22:21,2024-05-09,15:00,POS-2,C001,P015,ORANGE-JUICE,Orange Juice,Beverage,2,4.16,8.32,EBT
T1046,2024-05-09 15:22:21,2024-05-09,15:00,POS-2,C003,P009,BANANA-LB,Bananas,Produce,1,4.18,4.18,EBT
T1046,2024-05-09 15:22:21,2024-05-09,15:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,3,37.39,112.17,Cash
T1046,2024-05-09 15:22:21,2024-05-09,15:00,POS-1,C001,P025,TUNA,Tuna Can,Grocery,2,11.46,22.92,Apple Pay
T1055,2024-05-09 15:35:20,2024-05-09,15:00,POS-2,C003,P023,SAUCE,Tomato Sauce Jar,Grocery,2,8.57,17.14,EBT
T1055,2024-05-09 15:35:20,2024-05-09,15:00,POS-1,C001,P022,PASTA,Pasta Box,Grocery,1,6.70,6.70,Card
T1066,2024-05-09 15:35:35,2024-05-09,15:00,POS-1,C002,P024,SOUP,Chicken Soup Can,Grocery,2,3.37,6.74,Apple Pay
T1066,2024-05-09 15:35:35,2024-05-09,15:00,POS-1,C003,P014,GATORADE,Gatorade 20oz,Beverage,1,30.95,30.95,Cash
T1066,2024-05-09 15:35:35,2024-05-09,15:00,POS-2,C001,P035,BATTERY-AA,AA Batteries,Electronics,1,33.84,33.84,Card
T1068,2024-05-09 15:42:53,2024-05-09,15:00,POS-2,C001,P001,RB-24CT,Red Bull 24ct,Energy Drink,1,44.81,44.81,Cash
T1068,2024-05-09 15:42:53,2024-05-09,15:00,POS-2,C001,P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Snacks,1,2.49,2.49,Cash
T1068,2024-05-09 15:42:53,2024-05-09,15:00,POS-1,C001,P027,FROZEN-PIZZA,Frozen Pizza,Frozen,3,3.48,10.44,Cash
T1074,2024-05-09 15:48:48,2024-05-09,15:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,3,37.39,112.17,EBT
T1044,2024-05-09 16:09:31,2024-05-09,16:00,POS-1,C002,P017,BUTTER,Butter Sticks,Dairy,2,42.18,84.36,Cash
T1044,2024-05-09 16:09:31,2024-05-09,16:00,POS-1,C003,P006,KETTLE-CHIPS,Kettle Chips Sea Salt,Snacks,2,2.49,4.98,Cash
T1044,2024-05-09 16:09:31,2024-05-09,16:00,POS-2,C002,P034,ADVIL,Pain Reliever,Pharmacy,1,5.77,5.77,Apple Pay
T1059,2024-05-09 16:38:01,2024-05-09,16:00,POS-1,C003,P029,BACON,Bacon Pack,Meat,1,2.13,2.13,Cash
T1075,2024-05-09 16:56:36,2024-05-09,16:00,POS-2,C002,P034,ADVIL,Pain Reliever,Pharmacy,1,5.77,5.77,Apple Pay
T1075,2024-05-09 16:56:36,2024-05-09,16:00,POS-1,C002,P022,PASTA,Pasta Box,Grocery,1,6.70,6.70,Card
T1075,2024-05-09 16:56:36,2024-05-09,16:00,POS-2,C002,P003,EGG-12CT,Eggs 12ct,Grocery,1,37.39,37.39,Card
T1061,2024-05-09 17:07:42,2024-05-09,17:00,POS-1,C003,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,1,24.42,24.42,Apple Pay
T1053,2024-05-09 17:21:51,2024-05-09,17:00,POS-1,C001,P016,YOGURT,Greek Yogurt Cup,Dairy,1,26.09,26.09,EBT
T1071,2024-05-09 17:48:16,2024-05-09,17:00,POS-1,C002,P009,BANANA-LB,Bananas,Produce,1,4.18,4.18,Cash
T1071,2024-05-09 17:48:16,2024-05-09,17:00,POS-2,C001,P001,RB-24CT,Red Bull 24ct,Energy Drink,2,44.81,89.62,EBT
T1071,2024-05-09 17:48:16,2024-05-09,17:00,POS-1,C002,P026,ICECREAM,Ice Cream Pint,Frozen,3,8.55,25.65,Card
T1073,2024-05-09 18:15:27,2024-05-09,18:00,POS-1,C001,P018,CHEESE,Cheddar Cheese Block,Dairy,1,10.18,10.18,Card
T1073,2024-05-09 18:15:27,2024-05-09,18:00,POS-1,C002,P012,LAY-CLASSIC,Lay's Classic Chips,Snacks,2,18.81,37.62,Apple Pay
T1073,2024-05-09 18:15:27,2024-05-09,18:00,POS-1,C001,P008,BREAD-WHT,White Bread,Grocery,3,3.30,9.90,Card
T1073,2024-05-09 18:15:27,2024-05-09,18:00,POS-2,C001,P011,DORITOS,Doritos Nacho Cheese,Snacks,1,44.82,44.82,Cash
T1047,2024-05-09 18:55:54,2024-05-09,18:00,POS-1,C001,P002,COKE-12OZ,Coca-Cola 12oz,Beverage,3,24.42,73.26,EBT
T1047,2024-05-09 18:55:54,2024-05-09,18:00,POS-2,C003,P037,CEREAL,Cereal Box,Grocery,1,7.72,7.72,EBT
